checkpoint_step,batch_size,epsilon_opt_grid,loss_change_opt_grid,delta_loss_opt_grid,epsilon_opt_quadratic,loss_change_opt_quadratic,delta_loss_opt_quadratic
100,4,0.007,-0.003735077786445612,0.003735077786445612,0.008017678014810107,-0.003796040371885489,0.003796040371885489
100,8,0.015,-0.008764421796798694,0.008764421796798694,0.016818746185992193,-0.00887208035890932,0.00887208035890932
100,16,0.03,-0.02462991287708282,0.02462991287708282,0.03601784693683592,-0.02535007557072122,0.02535007557072122
100,32,0.05,-0.025909331512451162,0.025909331512451162,0.05253922725784392,-0.025971167610231237,0.025971167610231237
100,64,0.07,-0.03933528857231138,0.03933528857231138,0.07878512934905087,-0.03982042682761459,0.03982042682761459
100,128,0.1,-0.05616172573566436,0.05616172573566436,0.11817871958705199,-0.057509725059707015,0.057509725059707015
100,256,0.15,-0.05976180489063263,0.05976180489063263,0.12621696546131228,-0.0619737304726149,0.0619737304726149
100,512,0.15,-0.06858973224163054,0.06858973224163054,0.14249047528605102,-0.06877727089614391,0.06877727089614391
500,4,0.007,-0.0006035034537315326,0.0006035034537315326,0.007241658658615449,-0.000604175982209726,0.000604175982209726
500,8,0.02,-0.0016631600618362385,0.0016631600618362385,0.018084534354472083,-0.0016817197731347476,0.0016817197731347476
500,16,0.02,-0.0014913128495216365,0.0014913128495216365,0.021774068053187108,-0.001501202877180503,0.001501202877180503
500,32,0.03,-0.0019798039913177467,0.0019798039913177467,0.030705132728502466,-0.0019808407965534397,0.0019808407965534397
500,64,0.05,-0.0030137179970741224,0.0030137179970741224,0.04762064356011946,-0.0030211331648158568,0.0030211331648158568
500,128,0.07,-0.003283079528808591,0.003283079528808591,0.07403171967870745,-0.0032927520080474164,0.0032927520080474164
500,256,0.15,-0.006876188099384303,0.006876188099384303,0.15622813999889032,-0.0068868669099694385,0.0068868669099694385
500,512,0.15,-0.007606801140308381,0.007606801140308381,0.1458913437277616,-0.00761266138601048,0.00761266138601048
